label,modality,minus_combo,mean_abs_all,mean_abs_pos,n_all,n_pos,norm_abs_all,norm_abs_pos
OLK,img,txt+svs,0.3183672729267915,0.32798875190554205,150,28,0.09108957423062607,0.06196808848940958
OLK,svs,txt+img,1.389067477434357,1.4042430929978624,150,28,0.3974327007104176,0.2653086721479835
OLK,txt,img+svs,1.7876663697816473,3.560633562129374,150,28,0.5114777250589564,0.672723239362607
OLP,img,txt+svs,0.6821349945655892,0.8427326909975927,150,44,0.17378955202180477,0.21107263608457616
OLP,svs,txt+img,1.2640098845537333,2.1926894281511227,150,44,0.32203554038100946,0.5491856939438005
OLP,txt,img+svs,1.9789184323966893,0.9571972304287083,150,44,0.5041749075971858,0.23974166997162338
OSCC,img,txt+svs,0.5837601854551431,0.4618723792599118,150,25,0.21726522334827167,0.1411336460497522
OSCC,svs,txt+img,0.9814654299203188,1.9394857507521994,150,25,0.36528408609091595,0.5926457345291115
OSCC,txt,img+svs,1.1216295400830238,0.871230598384329,150,25,0.4174506905608124,0.2662206194211363
OSF,img,txt+svs,0.21266521067897728,0.2578050764257259,150,11,0.0811244683933294,0.04189430348862435
OSF,svs,txt+img,0.7236415546668298,0.9611137814832376,150,11,0.276044380941486,0.1561846376603783
OSF,txt,img+svs,1.6851613920524862,4.9347835540604414,150,11,0.6428311506651846,0.8019210588509973
乳头状瘤,img,txt+svs,0.40294737538681824,0.24970808568528102,150,9,0.1489161451510516,0.06046779248238636
乳头状瘤,svs,txt+img,0.9915728458012047,1.7323942633498381,150,9,0.36645282945799773,0.41950606655941897
乳头状瘤,txt,img+svs,1.3113473996672753,2.1475024444261006,150,9,0.48463102539095065,0.5200261409581947
粘液囊肿,img,txt+svs,0.2435811602359066,0.12670682060111538,150,25,0.10858311502349924,0.033500872621050434
粘液囊肿,svs,txt+img,0.6742213696086349,0.41493154633108775,150,25,0.30055303315171483,0.10970655576508793
粘液囊肿,txt,img+svs,1.3254666946862843,3.240556265260707,150,25,0.590863851824786,0.8567925716138616
纤维增生,img,txt+svs,0.3593840288050996,0.4926626627351798,150,15,0.14042440515686994,0.09724555906552211
纤维增生,svs,txt+img,0.9402124996776511,2.0886164054612233,150,15,0.36737520425508247,0.4122672274267201
纤维增生,txt,img+svs,1.2596739089004594,2.48489225591757,150,15,0.49220039058804754,0.4904872135077577
