file,fpr,tpr_mean
calibration_long-img,0.15,0.4472294372294372
calibration_long-img,0.16,0.46310245310245307
calibration_long-img,0.17,0.4745310245310245
calibration_long-img,0.18,0.47777777777777775
calibration_long-img,0.19,0.4958668315811173
calibration_long-img,0.2,0.5289775304061018
calibration_long-img,0.21,0.5289775304061018
calibration_long-img,0.22,0.531055452484024
calibration_long-img,0.23,0.5772397443826015
calibration_long-img,0.24,0.6189569160997733
calibration_long-img,0.25,0.6480488559059988
calibration_long-img,0.26,0.6710080395794682
calibration_long-img,0.27,0.6742547928262216
calibration_long-img,0.28,0.6793568336425481
calibration_long-img,0.29,0.6850711193568337
calibration_long-img,0.3,0.702213976499691
calibration_long-img,0.31,0.7054607297464441
calibration_long-img,0.32,0.7241620284477428
calibration_long-img,0.33,0.7241620284477428
calibration_long-img,0.34,0.7292640692640694
calibration_long-img,0.35000000000000003,0.737612863327149
calibration_long-img,0.36,0.7455534941249228
calibration_long-img,0.37,0.7510636982065554
calibration_long-img,0.38,0.7539208410636983
calibration_long-img,0.39,0.772650999793857
calibration_long-img,0.4,0.772650999793857
calibration_long-img,0.41000000000000003,0.7758977530406101
calibration_long-img,0.42,0.7758977530406101
calibration_long-img,0.43,0.7791445062873635
calibration_long-img,0.44,0.7964543393114821
calibration_long-img,0.45,0.8035971964543392
calibration_long-img,0.46,0.812327355184498
calibration_long-img,0.47000000000000003,0.812327355184498
calibration_long-img,0.48,0.812327355184498
calibration_long-img,0.49,0.812327355184498
calibration_long-img,0.5,0.812327355184498
calibration_long-img,0.51,0.8174293960008246
calibration_long-img,0.52,0.8231436817151103
calibration_long-img,0.53,0.8231436817151103
calibration_long-img,0.54,0.8231436817151103
calibration_long-img,0.55,0.8263904349618636
calibration_long-img,0.56,0.8296371882086168
calibration_long-img,0.5700000000000001,0.83288394145537
calibration_long-img,0.58,0.83288394145537
calibration_long-img,0.59,0.8361306947021233
calibration_long-img,0.6,0.8513687899402186
calibration_long-img,0.61,0.8672418058132344
calibration_long-img,0.62,0.8672418058132344
calibration_long-img,0.63,0.8672418058132344
calibration_long-img,0.64,0.8755905998763142
calibration_long-img,0.65,0.8755905998763142
calibration_long-img,0.66,0.8947103689960832
calibration_long-img,0.67,0.8947103689960832
calibration_long-img,0.68,0.8947103689960832
calibration_long-img,0.6900000000000001,0.8947103689960832
calibration_long-img,0.7000000000000001,0.8953597196454339
calibration_long-img,0.71,0.8979571222428365
calibration_long-img,0.72,0.8989095031952176
calibration_long-img,0.73,0.905338074623789
calibration_long-img,0.74,0.9074809317666462
calibration_long-img,0.75,0.9074809317666462
calibration_long-img,0.76,0.9170047412904557
calibration_long-img,0.77,0.9215285508142651
calibration_long-img,0.78,0.9327190270047413
calibration_long-img,0.79,0.9328777571634715
calibration_long-img,0.8,0.9328777571634715
calibration_long-img,0.81,0.9540105132962278
calibration_long-img,0.8200000000000001,0.967322201607916
calibration_long-img,0.8300000000000001,0.9674520717377861
