checkpoint_dir,checkpoint_file,train_size,test_samples,loss,acc,recall_macro,precision_macro,f1_macro,f1_micro,auc_macro,auc_micro,auc_weighted,OLK_acc,OLK_precision,OLK_recall,OLK_f1,OLP_acc,OLP_precision,OLP_recall,OLP_f1,OSCC_acc,OSCC_precision,OSCC_recall,OSCC_f1,OSF_acc,OSF_precision,OSF_recall,OSF_f1,乳头状瘤_acc,乳头状瘤_precision,乳头状瘤_recall,乳头状瘤_f1,粘液囊肿_acc,粘液囊肿_precision,粘液囊肿_recall,粘液囊肿_f1,纤维增生_acc,纤维增生_precision,纤维增生_recall,纤维增生_f1
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_118_seed_42,best_val.pth,118,150,1.05902825,0.76000000,0.77555968,0.87442793,0.79615813,0.82736156,0.97662396,0.97073131,0.97004108,0.90000000,0.67567568,0.89285714,0.76923077,0.90000000,0.93939394,0.70454545,0.80519481,0.96000000,0.88000000,0.88000000,0.88000000,0.98000000,0.90000000,0.81818182,0.85714286,0.96000000,1.00000000,0.33333333,0.50000000,0.98666667,0.92592593,1.00000000,0.96153846,0.96000000,0.80000000,0.80000000,0.80000000
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_148_seed_42,best_val.pth,148,150,0.81676592,0.76666667,0.81753659,0.87967772,0.84048340,0.84039088,0.98046314,0.97774267,0.97626424,0.89333333,0.65789474,0.89285714,0.75757576,0.90666667,0.94117647,0.72727273,0.82051282,0.96000000,0.91304348,0.84000000,0.87500000,0.98000000,0.90000000,0.81818182,0.85714286,0.98000000,0.87500000,0.77777778,0.82352941,0.99333333,0.96153846,1.00000000,0.98039216,0.96000000,0.90909091,0.66666667,0.76923077
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_177_seed_42,best_val.pth,177,150,0.68653437,0.82000000,0.85147598,0.92309781,0.87953759,0.88025890,0.98599328,0.98647299,0.98357756,0.90666667,0.69444444,0.89285714,0.78125000,0.93333333,0.94736842,0.81818182,0.87804878,0.98000000,0.95833333,0.92000000,0.93877551,0.98000000,0.90000000,0.81818182,0.85714286,0.98666667,1.00000000,0.77777778,0.87500000,0.99333333,0.96153846,1.00000000,0.98039216,0.97333333,1.00000000,0.73333333,0.84615385
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_207_seed_42,best_val.pth,207,150,0.77740599,0.84000000,0.88314987,0.92528970,0.90101043,0.89032258,0.98542097,0.98733961,0.98541189,0.93333333,0.78125000,0.89285714,0.83333333,0.92000000,0.92105263,0.79545455,0.85365854,0.96666667,0.88461538,0.92000000,0.90196078,0.98666667,1.00000000,0.81818182,0.90000000,0.99333333,1.00000000,0.88888889,0.94117647,0.99333333,0.96153846,1.00000000,0.98039216,0.98000000,0.92857143,0.86666667,0.89655172
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_236_seed_42,best_val.pth,236,150,0.68094774,0.80666667,0.86749330,0.86523199,0.86145422,0.87421384,0.98869602,0.99031391,0.98754098,0.90666667,0.69444444,0.89285714,0.78125000,0.94666667,0.95000000,0.86363636,0.90476190,0.98000000,0.95833333,0.92000000,0.93877551,0.96000000,0.69230769,0.81818182,0.75000000,0.98666667,1.00000000,0.77777778,0.87500000,0.99333333,0.96153846,1.00000000,0.98039216,0.96000000,0.80000000,0.80000000,0.80000000
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_296_seed_42,best_val.pth,296,150,0.67507521,0.85333333,0.86966399,0.88886517,0.87596810,0.89808917,0.98914844,0.99003930,0.98811907,0.93333333,0.80000000,0.85714286,0.82758621,0.97333333,0.95454545,0.95454545,0.95454545,0.97333333,0.95652174,0.88000000,0.91666667,0.96000000,0.69230769,0.81818182,0.75000000,0.98666667,1.00000000,0.77777778,0.87500000,0.99333333,0.96153846,1.00000000,0.98039216,0.96666667,0.85714286,0.80000000,0.82758621
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_29_seed_42,last.pth,29,150,1.43468965,0.62000000,0.61148835,0.87786183,0.68656960,0.72027972,0.95418731,0.95086697,0.94430167,0.89333333,0.80000000,0.57142857,0.66666667,0.84000000,0.67241379,0.88636364,0.76470588,0.86666667,0.85714286,0.24000000,0.37500000,0.98666667,1.00000000,0.81818182,0.90000000,0.96666667,1.00000000,0.44444444,0.61538462,0.98000000,0.95833333,0.92000000,0.93877551,0.93333333,0.85714286,0.40000000,0.54545455
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_59_seed_42,best_val.pth,59,150,1.18673093,0.64666667,0.68231499,0.82753902,0.71342722,0.74576271,0.96767557,0.95502172,0.96009517,0.89333333,0.71428571,0.71428571,0.71428571,0.85333333,0.89285714,0.56818182,0.69444444,0.90000000,0.67857143,0.76000000,0.71698113,0.98000000,0.90000000,0.81818182,0.85714286,0.95333333,1.00000000,0.22222222,0.36363636,0.98666667,0.96000000,0.96000000,0.96000000,0.93333333,0.64705882,0.73333333,0.68750000
/media/codingma/LLM/lcx/Medical_Info_Classification/checkpoints_70_30_multi_label_20260121/learning_curve/size_88_seed_42,best_val.pth,88,150,1.25865095,0.73333333,0.75348176,0.84506137,0.76843411,0.80258900,0.97513990,0.97305654,0.97044688,0.88666667,0.64102564,0.89285714,0.74626866,0.89333333,0.86842105,0.75000000,0.80487805,0.94000000,0.94444444,0.68000000,0.79069767,0.96666667,0.75000000,0.81818182,0.78260870,0.96000000,1.00000000,0.33333333,0.50000000,0.99333333,0.96153846,1.00000000,0.98039216,0.95333333,0.75000000,0.80000000,0.77419355
